DATE,FPCPITOTLZGUSA
1977-01-01,6.50168399472839
1978-01-01,7.63096383885602
1979-01-01,11.2544711292795
1980-01-01,13.5492019749684
1981-01-01,10.3347153402771
1982-01-01,6.13142700027494
1983-01-01,3.21243523316063
1984-01-01,4.30053547523427
1985-01-01,3.54564415209369
1986-01-01,1.89804772234275
1987-01-01,3.66456321751691
1988-01-01,4.07774110744408
1989-01-01,4.82700303008949
1990-01-01,5.39795643990322
1991-01-01,4.23496396453853
1992-01-01,3.0288196781497
1993-01-01,2.95165696638554
1994-01-01,2.6074415921546
1995-01-01,2.80541968853655
1996-01-01,2.9312041999344
1997-01-01,2.33768993730741
1998-01-01,1.55227909874362
1999-01-01,2.18802719697358
2000-01-01,3.37685727149935
2001-01-01,2.82617111885402
2002-01-01,1.58603162650603
2003-01-01,2.27009497336113
2004-01-01,2.67723669309173
2005-01-01,3.39274684549547
2006-01-01,3.22594410070407
2007-01-01,2.85267248150136
2008-01-01,3.83910029665101
2009-01-01,-0.35554626629975
2010-01-01,1.64004344238989
2011-01-01,3.15684156862206
2012-01-01,2.06933726526059
2013-01-01,1.46483265562714
2014-01-01,1.62222297740821
2015-01-01,0.118627135552435
2016-01-01,1.26158320570537
2017-01-01,2.13011000365963
